#=Quote,EventSymbol,EventTime,BidTime,BidExchangeCode,BidPrice,BidSize,AskTime,AskExchangeCode,AskPrice,AskSize
Quote,AAPL,20190807-083500.016-0500,20190807-083500-0500,B,195.00,2,20190807-083459-0500,Q,195.10,2
Quote,AAPL,20190807-083501.016-0500,20190807-083501-0500,B,195.02,2,20190807-083459-0500,Q,195.12,2
Quote,AAPL,20190807-083502.016-0500,20190807-083502-0500,B,195.01,2,20190807-083459-0500,Q,195.11,2
Quote,AAPL,20190807-083503.016-0500,20190807-083503-0500,B,195.03,2,20190807-083459-0500,Q,195.13,2
Quote,AAPL,20190807-083504.016-0500,20190807-083504-0500,B,195.04,2,20190807-083459-0500,Q,195.14,2
Quote,AAPL,20190807-083505.016-0500,20190807-083505-0500,B,195.10,2,20190807-083459-0500,Q,195.20,2
Quote,AAPL,20190807-083506.016-0500,20190807-083506-0500,B,195.15,2,20190807-083459-0500,Q,195.25,2
Quote,AAPL,20190807-083507.016-0500,20190807-083507-0500,B,195.25,2,20190807-083459-0500,Q,195.35,2
Quote,AAPL,20190807-083508.016-0500,20190807-083508-0500,B,195.30,2,20190807-083459-0500,Q,195.40,2
Quote,AAPL,20190807-083509.016-0500,20190807-083509-0500,B,195.05,2,20190807-083459-0500,Q,195.15,2
